system_type,component,operational_hours,ambient_temperature,component_temperature,vibration,power_output,efficiency,fault_count_30d,maintenance_delay_days,weather_severity_index,degradation_rate,failure,remaining_useful_life_days
Solar,Inverter,38793,46,61,0.18,665,87.6,0,0,9,0.19,0,178
Solar,Inverter,8636,37,78,0.36,370,85.6,2,4,7,0.13,0,154
Solar,Panel,24483,41,76,1.29,718,74.3,7,19,2,0.81,1,60
Wind,Gearbox,18912,43,53,2.59,1463,95.2,2,2,3,0.23,0,291
Solar,Inverter,28862,30,62,0.38,500,85.7,2,4,6,0.32,0,158
Solar,Panel,28288,30,41,0.75,499,79.2,4,11,8,0.89,1,76
Solar,Inverter,47321,31,49,0.24,1162,95.8,0,3,2,0.23,0,254
Wind,Bearing,5727,32,52,4.92,1076,57.0,7,24,1,0.41,1,76
Wind,Bearing,42499,44,72,7.59,1144,73.9,3,11,2,0.84,1,6
Solar,Panel,24024,43,88,0.59,362,92.3,1,4,2,0.18,0,256
Solar,Inverter,19363,21,58,0.26,439,92.2,0,3,7,0.17,0,287
Solar,Panel,44484,31,53,0.39,314,88.2,0,2,7,0.34,0,242
Solar,Panel,23605,42,71,0.48,662,93.7,2,4,8,0.2,0,308
Solar,Inverter,6101,29,68,0.67,653,72.2,5,29,4,0.47,1,52
Wind,Blade,30962,38,74,1.62,1685,91.3,0,4,10,0.21,0,135
Wind,Gearbox,1018,47,73,3.2,1789,87.6,2,0,3,0.24,0,157
Wind,Blade,30405,22,57,1.92,874,85.7,2,2,2,0.29,0,175
Solar,Panel,23608,25,51,0.55,1094,93.3,1,5,8,0.32,0,242
Wind,Generator,17881,43,72,1.01,1452,88.3,2,3,4,0.14,0,150
Solar,Panel,39018,26,45,0.76,917,74.4,8,18,1,0.45,1,44
Wind,Gearbox,35964,22,62,2.26,982,89.4,2,0,5,0.28,0,324
Wind,Gearbox,18738,36,62,4.74,1667,72.3,7,9,9,0.89,1,19
Wind,Blade,25941,36,54,3.03,1420,93.8,0,1,2,0.16,0,324
Solar,Inverter,43900,28,41,0.22,1046,85.2,1,0,2,0.33,0,139
Solar,Panel,49717,38,77,0.68,1125,71.0,6,12,3,0.6,1,40
Solar,Panel,35714,38,78,1.45,977,73.6,10,11,4,0.73,1,66
Solar,Inverter,23033,27,56,0.46,991,95.6,2,1,4,0.29,0,313
Wind,Gearbox,48846,31,76,7.01,980,71.8,5,17,2,0.66,1,53
Wind,Blade,8698,29,55,1.23,1787,87.8,1,3,3,0.35,0,330
Solar,Inverter,21131,46,91,0.24,848,89.6,0,3,8,0.13,0,208
Solar,Panel,23043,36,53,0.5,850,93.9,1,0,1,0.28,0,173
Solar,Inverter,10366,43,61,1.14,510,59.0,8,13,1,0.92,1,52
Wind,Bearing,20677,22,41,4.99,1134,68.0,10,18,2,0.46,1,30
Solar,Inverter,22920,36,75,0.44,347,90.0,1,0,8,0.16,0,198
Solar,Panel,39382,25,55,1.44,343,56.6,4,27,5,0.53,1,6
Wind,Gearbox,39514,44,82,7.42,1719,78.3,3,30,2,0.47,1,19
Wind,Gearbox,21036,28,50,3.48,912,88.9,0,2,1,0.3,0,212
Wind,Generator,8963,39,71,7.91,1362,56.0,8,23,2,0.72,1,65
Solar,Panel,5474,33,55,0.95,399,76.9,10,26,2,0.65,1,69
Wind,Bearing,38503,24,52,3.18,1099,86.7,2,0,3,0.28,0,171
Wind,Bearing,3915,40,84,2.36,856,90.8,0,0,8,0.15,0,169
Wind,Blade,33171,45,79,6.44,906,72.0,7,30,9,0.45,1,12
Wind,Gearbox,48846,24,36,8.62,1046,64.5,9,9,3,0.71,1,55
Wind,Gearbox,17887,22,41,3.37,1335,86.6,2,1,4,0.18,0,268
Solar,Inverter,6288,47,81,0.98,370,65.7,8,26,3,0.57,1,37
Wind,Bearing,14656,30,62,2.65,1279,90.9,2,0,3,0.26,0,334
Solar,Panel,5594,23,56,0.2,467,87.1,1,1,1,0.15,0,260
Solar,Panel,29253,31,56,1.24,426,73.1,8,17,9,0.7,1,24
Solar,Panel,49453,42,70,1.28,831,59.6,4,20,2,0.95,1,50
Wind,Gearbox,26903,33,44,5.25,1622,69.3,3,29,2,0.57,1,50
Solar,Inverter,37577,46,63,1.05,488,71.2,9,28,10,0.5,1,27
Solar,Inverter,24362,46,62,0.38,895,88.0,2,5,1,0.3,0,333
Solar,Inverter,20680,24,36,0.9,474,75.2,8,11,6,0.5,1,25
Solar,Inverter,24536,40,69,0.7,617,61.1,4,27,5,0.83,1,14
Solar,Panel,40959,46,57,1.16,302,70.9,10,12,9,0.41,1,78
Solar,Panel,3317,35,79,0.78,1097,68.9,10,30,4,0.84,1,28
Solar,Panel,29605,25,61,0.53,820,96.0,2,5,7,0.12,0,219
Solar,Panel,7407,37,80,0.41,333,92.6,1,4,8,0.25,0,131
Solar,Inverter,29149,24,46,0.53,605,91.9,1,5,2,0.25,0,273
Wind,Gearbox,41187,22,50,3.46,1069,91.2,1,0,4,0.32,0,228
Solar,Inverter,32683,43,88,0.56,931,89.9,0,5,5,0.16,0,228
Solar,Inverter,16258,22,51,0.23,498,93.7,2,5,6,0.25,0,280
Solar,Panel,4663,25,48,0.88,977,79.8,10,6,7,0.88,1,69
Wind,Generator,46823,44,61,4.34,1068,68.6,3,22,8,0.85,1,32
Wind,Gearbox,38995,27,47,8.61,1042,65.6,3,10,1,0.79,1,49
Wind,Bearing,40385,34,46,7.91,1628,70.5,4,23,4,0.66,1,9
Solar,Panel,44387,44,87,0.41,1183,91.7,1,3,6,0.18,0,159
Solar,Panel,11926,33,45,1.05,768,76.6,4,19,2,0.68,1,12
Solar,Panel,34444,36,77,0.15,535,88.1,0,2,6,0.29,0,208
Solar,Panel,7938,35,69,0.24,1094,88.5,1,0,4,0.27,0,264
Wind,Blade,26371,28,42,2.09,1552,85.0,1,4,5,0.27,0,131
Wind,Generator,39175,38,72,1.21,1211,88.7,0,5,10,0.16,0,152
Wind,Gearbox,3307,33,53,2.62,1156,94.0,0,5,5,0.17,0,200
Wind,Blade,5918,21,50,6.02,1144,72.0,10,13,9,0.55,1,33
Solar,Panel,14922,26,58,0.73,675,56.1,6,14,5,0.43,1,57
Wind,Gearbox,43781,34,50,5.27,1259,71.2,4,5,10,0.47,1,65
Wind,Gearbox,49313,40,55,1.1,946,93.6,1,0,4,0.31,0,188
Wind,Generator,13800,39,51,1.52,1231,91.6,2,5,9,0.31,0,258
Wind,Generator,38902,24,38,3.32,994,86.9,0,4,8,0.14,0,315
Solar,Panel,42741,40,64,0.38,425,95.3,2,0,1,0.2,0,278
Wind,Bearing,26193,31,53,3.43,1466,95.0,2,4,6,0.31,0,239
Wind,Gearbox,15230,32,47,6.98,1326,61.8,7,17,10,0.72,1,19
Solar,Inverter,32609,27,68,0.37,1154,86.9,0,4,8,0.11,0,161
Wind,Gearbox,18831,41,57,3.27,1364,85.9,0,1,1,0.15,0,154
Wind,Gearbox,42286,38,66,2.12,1293,85.3,1,5,2,0.21,0,293
Solar,Inverter,46596,40,84,1.28,648,69.5,7,18,3,0.4,1,69
Wind,Gearbox,27748,20,39,1.26,1518,86.7,0,5,1,0.26,0,129
Wind,Gearbox,26850,31,74,2.92,1551,90.7,2,4,4,0.24,0,301
Solar,Panel,12620,45,82,0.19,814,86.9,1,5,5,0.13,0,309
Solar,Panel,38957,26,70,0.13,744,94.3,2,3,7,0.27,0,187
Solar,Inverter,45674,22,50,0.59,786,92.9,0,2,4,0.32,0,148
Wind,Bearing,23831,37,71,1.49,1449,95.0,0,2,6,0.12,0,247
Solar,Inverter,17743,34,59,0.27,489,86.3,2,2,5,0.3,0,249
Solar,Inverter,34549,44,55,0.15,716,86.6,0,5,9,0.22,0,238
Solar,Inverter,14305,36,57,1.04,704,57.2,6,22,6,0.66,1,27
Wind,Blade,48516,35,75,2.14,1079,87.3,2,0,9,0.22,0,324
Wind,Bearing,26189,21,63,1.57,864,90.6,0,2,7,0.28,0,297
Solar,Panel,11582,30,43,1.28,359,55.7,7,18,10,0.79,1,59
Solar,Inverter,28806,29,40,1.29,796,58.5,5,16,4,0.82,1,16
Solar,Inverter,32820,44,55,1.27,312,71.2,9,22,5,0.74,1,9
Solar,Inverter,33186,42,76,0.5,732,94.3,1,5,2,0.26,0,320
Wind,Generator,5974,31,56,2.61,1577,95.4,0,2,10,0.32,0,245
Wind,Bearing,29095,29,58,4.37,1401,66.6,3,27,8,0.61,1,63
Wind,Gearbox,38516,21,44,6.95,1253,58.1,9,12,4,0.77,1,5
Solar,Inverter,47649,45,62,1.43,442,66.9,3,19,4,0.4,1,77
Solar,Panel,35135,30,41,0.31,489,87.1,1,1,9,0.15,0,308
Solar,Panel,34381,38,55,0.45,662,90.5,1,3,3,0.25,0,307
Wind,Gearbox,3711,42,73,7.61,1377,72.5,5,8,10,0.68,1,68
Wind,Blade,3686,21,65,1.3,1491,86.4,1,2,5,0.26,0,270
Solar,Panel,23267,28,60,1.39,579,61.2,10,11,6,0.58,1,77
Solar,Inverter,4910,33,46,0.78,777,58.6,7,26,2,0.84,1,66
Wind,Blade,34483,45,83,2.77,1121,87.3,1,0,6,0.19,0,278
Solar,Panel,15091,30,43,0.99,425,64.9,9,7,6,0.5,1,47
Wind,Generator,1624,22,33,3.03,1176,90.8,1,4,5,0.1,0,265
Wind,Generator,14258,36,71,2.41,1264,88.6,0,5,4,0.32,0,148
Solar,Panel,43508,38,53,0.28,476,93.2,0,3,4,0.32,0,186
Wind,Generator,45586,38,73,4.15,1600,72.2,9,30,2,0.52,1,35
Solar,Panel,24820,39,66,0.88,1103,78.9,5,13,7,0.63,1,61
Wind,Blade,47913,25,55,1.56,1293,86.8,0,1,2,0.11,0,275
Solar,Inverter,49502,40,55,0.74,1152,76.3,6,28,7,0.45,1,29
Wind,Generator,1154,34,54,2.42,1212,94.8,2,5,4,0.14,0,193
Solar,Inverter,39686,20,34,0.3,960,95.8,1,5,2,0.17,0,139
Solar,Inverter,39820,24,68,1.25,599,57.8,9,18,9,0.64,1,39
Wind,Gearbox,18798,20,34,2.72,1736,87.6,2,3,9,0.34,0,205
Solar,Panel,47434,32,67,0.26,567,85.6,1,5,4,0.2,0,230
Solar,Panel,7946,23,63,0.22,683,93.9,0,0,10,0.34,0,274
Wind,Blade,39769,41,64,1.9,963,87.9,0,3,9,0.23,0,273
Solar,Panel,21166,20,42,0.14,952,87.6,2,4,2,0.25,0,120
Wind,Gearbox,29827,25,66,7.5,1474,75.4,7,18,3,0.76,1,61
Wind,Bearing,5539,33,62,5.29,1347,69.5,10,29,10,0.93,1,17
Wind,Blade,18549,44,71,1.36,1462,87.7,2,2,5,0.11,0,228
Solar,Inverter,45415,37,65,0.57,527,94.7,2,2,10,0.17,0,299
Solar,Inverter,9056,42,61,0.8,1194,60.4,7,20,3,0.57,1,21
Wind,Bearing,15072,34,71,1.7,1046,88.7,0,0,3,0.18,0,317
Solar,Panel,35848,22,54,0.42,549,89.3,1,5,8,0.27,0,190
Solar,Inverter,24527,45,65,1.36,550,62.6,4,23,10,0.87,1,78
Wind,Generator,12008,20,61,7.95,1139,79.3,7,20,9,0.63,1,11
Solar,Inverter,43156,31,59,0.24,458,85.5,1,0,4,0.25,0,133
Wind,Blade,26588,44,83,1.5,826,95.3,0,5,10,0.19,0,277
Wind,Blade,5067,37,80,2.01,1694,85.4,2,0,9,0.21,0,346
Wind,Gearbox,16593,47,70,2.38,856,88.1,1,2,2,0.19,0,122
Solar,Inverter,41722,20,42,0.46,423,94.3,0,4,5,0.31,0,307
Solar,Inverter,17448,31,46,0.45,678,87.2,0,3,1,0.29,0,304
Wind,Blade,46974,33,57,6.21,1568,62.8,7,12,9,0.91,1,71
Solar,Inverter,31876,43,74,1.43,1133,64.7,3,13,9,0.89,1,68
Wind,Gearbox,37865,23,35,7.18,966,71.7,10,30,6,0.66,1,24
Solar,Inverter,35299,42,68,0.63,655,56.5,5,10,3,0.41,1,50
Solar,Inverter,47331,30,59,0.42,1067,86.2,1,4,4,0.12,0,208
Solar,Inverter,47586,46,60,0.58,732,92.6,1,3,8,0.32,0,170
Wind,Blade,43753,26,64,8.18,1395,61.1,10,10,5,0.58,1,22
Wind,Blade,37974,39,57,1.27,819,86.9,1,5,5,0.29,0,248
Wind,Bearing,29237,31,44,5.76,1730,74.3,4,30,3,0.54,1,55
Wind,Blade,25793,35,70,2.33,1662,89.2,2,4,2,0.31,0,152
Wind,Blade,44427,21,32,6.37,1435,78.5,6,11,5,0.86,1,7
Solar,Inverter,6342,30,70,0.71,915,69.0,4,14,2,0.68,1,67
Solar,Panel,5369,46,64,0.57,927,95.4,1,3,5,0.21,0,272
Solar,Inverter,29875,43,83,0.42,799,86.9,2,3,10,0.3,0,238
Wind,Gearbox,49991,34,79,2.76,1737,87.2,1,4,9,0.16,0,206
Solar,Inverter,39816,27,40,0.49,615,90.3,1,3,1,0.21,0,183
Wind,Gearbox,46638,21,36,2.54,902,85.0,1,5,1,0.31,0,229
Solar,Inverter,10209,39,56,1.09,1020,57.8,5,21,2,0.68,1,44
Wind,Generator,31757,21,34,1.29,1666,88.2,0,3,1,0.22,0,218
Wind,Generator,45645,37,81,2.98,1599,95.0,1,0,6,0.35,0,255
Solar,Inverter,17028,31,42,1.33,370,60.5,3,20,7,0.91,1,23
Solar,Inverter,18203,28,56,0.27,1092,95.1,2,4,10,0.16,0,210
Solar,Inverter,12565,32,51,0.72,1033,75.1,10,20,10,0.45,1,78
Solar,Inverter,16479,40,71,0.14,926,91.4,1,1,6,0.25,0,140
Wind,Blade,40129,47,90,7.23,1790,73.0,9,11,8,0.88,1,32
Solar,Panel,4375,20,32,1.2,729,70.6,5,18,6,0.41,1,26
Wind,Bearing,31337,36,81,8.11,1786,71.8,7,7,3,0.44,1,12
Solar,Panel,25315,20,46,0.33,941,85.6,0,2,1,0.24,0,127
Solar,Inverter,19689,34,45,0.22,986,86.9,1,3,3,0.16,0,197
Solar,Panel,30939,34,67,0.54,534,94.9,1,2,5,0.18,0,204
Wind,Gearbox,16964,34,44,6.88,1455,62.7,10,25,9,0.7,1,78
Wind,Generator,43172,45,70,2.26,1739,88.4,2,1,10,0.14,0,165
Wind,Bearing,5870,27,57,4.95,1350,72.9,10,19,2,0.7,1,33
Solar,Panel,40297,33,56,0.47,627,85.6,0,3,9,0.25,0,279
Wind,Gearbox,11877,34,46,7.25,806,61.4,7,10,8,0.76,1,29
Solar,Inverter,10387,37,70,1.49,549,57.0,3,8,2,0.44,1,33
Solar,Panel,49798,45,73,0.28,981,87.5,2,5,3,0.31,0,205
Wind,Generator,30699,30,41,2.36,1310,87.9,2,0,1,0.24,0,310
Wind,Gearbox,24904,41,61,5.06,1146,63.4,5,25,9,0.48,1,55
Solar,Panel,28887,39,58,0.34,715,88.1,0,3,10,0.17,0,342
Wind,Bearing,24786,26,68,1.66,1105,90.2,1,2,4,0.21,0,207
Solar,Inverter,46693,38,66,0.72,1048,63.0,8,11,2,0.69,1,73
Wind,Gearbox,43977,37,80,3.31,1103,89.3,1,4,2,0.11,0,330
Solar,Panel,9665,25,37,0.42,1101,88.5,0,4,1,0.1,0,291
Solar,Panel,18519,22,45,0.1,751,89.0,2,3,5,0.26,0,205
Wind,Generator,47833,31,45,3.46,875,93.0,2,5,9,0.23,0,244
Solar,Panel,23598,26,52,0.35,653,90.3,2,5,7,0.27,0,326
Wind,Blade,17434,24,68,6.07,1104,64.3,10,28,10,0.77,1,21
Wind,Bearing,14997,35,71,1.93,1430,93.4,2,2,9,0.15,0,262
Solar,Panel,7933,33,45,0.65,734,65.3,6,21,7,0.61,1,13
Wind,Gearbox,13189,41,58,4.93,1246,76.1,5,22,9,0.72,1,54
Wind,Gearbox,2376,28,64,7.39,1641,63.6,4,5,2,0.9,1,53
Wind,Gearbox,49991,41,83,4.82,1516,60.4,10,25,10,0.73,1,20
Wind,Blade,49334,20,64,7.97,805,64.2,9,22,8,0.85,1,73
Solar,Inverter,46909,34,44,0.39,868,88.6,1,4,10,0.2,0,193
Solar,Inverter,4114,29,65,1.37,305,59.7,4,14,6,0.59,1,23
Wind,Bearing,38007,33,71,2.25,1030,89.0,0,5,10,0.12,0,286
Wind,Generator,7462,42,65,2.79,927,85.2,2,4,6,0.14,0,260
Wind,Blade,22687,34,78,3.11,910,91.2,0,0,10,0.28,0,214
Solar,Panel,11943,35,52,1.05,334,67.3,10,19,5,0.51,1,76
Solar,Inverter,33865,24,61,0.77,306,59.0,4,23,7,0.44,1,10
Solar,Inverter,14246,30,57,0.96,886,69.6,6,25,9,0.5,1,51
Solar,Panel,42539,43,88,0.86,700,68.5,9,14,1,0.93,1,25
Wind,Blade,37411,46,79,2.19,1293,94.8,1,4,5,0.14,0,221
Wind,Bearing,30175,34,74,1.05,1715,87.2,0,2,9,0.3,0,154
Wind,Blade,46816,38,68,1.28,807,94.3,0,2,3,0.23,0,210
Solar,Inverter,25730,34,59,0.2,744,85.3,2,4,8,0.18,0,169
Wind,Bearing,9811,32,74,2.29,1121,88.8,0,1,2,0.11,0,204
Solar,Panel,23208,31,50,0.19,827,88.1,1,0,10,0.18,0,307
Wind,Gearbox,32869,33,50,2.7,1789,86.0,0,0,3,0.19,0,204
Solar,Inverter,1029,23,33,0.25,1025,91.3,1,0,4,0.29,0,301
Solar,Inverter,29216,28,70,1.41,915,58.4,8,30,10,0.83,1,32
Solar,Inverter,45897,41,60,1.19,1199,67.6,9,23,7,0.76,1,47
Wind,Blade,8761,42,80,4.87,875,63.2,10,20,3,0.57,1,41
Solar,Panel,36410,29,61,0.36,1134,92.2,2,3,7,0.32,0,164
Wind,Bearing,18398,46,62,2.24,1720,86.7,2,1,4,0.25,0,348
Wind,Blade,43725,46,73,5.56,1544,56.9,6,11,5,0.78,1,41
Wind,Gearbox,6069,29,69,6.88,1352,70.5,7,28,9,0.76,1,7
Wind,Gearbox,12739,20,42,1.16,1054,93.3,2,3,2,0.11,0,201
Solar,Panel,13750,22,43,0.64,496,72.4,6,27,1,0.78,1,11
Wind,Blade,14513,41,62,2.41,1223,85.9,0,2,8,0.34,0,271
Solar,Inverter,48601,45,58,0.71,1108,74.9,4,15,9,0.48,1,31
Solar,Panel,19701,39,84,0.54,315,95.5,1,3,7,0.29,0,145
Wind,Blade,38544,33,52,7.48,1278,72.1,5,24,10,0.95,1,46
Wind,Blade,29637,26,48,1.6,1765,95.6,0,1,8,0.13,0,194
Solar,Inverter,40218,41,64,1.02,1153,73.0,3,26,2,0.42,1,28
Wind,Blade,1686,34,64,1.13,1465,87.8,1,0,10,0.19,0,325
Wind,Generator,31366,21,35,1.4,1394,88.4,0,2,2,0.34,0,164
Solar,Inverter,8271,35,51,0.59,732,90.9,1,5,7,0.25,0,182
Wind,Bearing,44647,31,60,3.31,1182,89.1,1,1,9,0.16,0,255
Solar,Panel,41137,33,55,0.3,1148,92.2,0,0,5,0.12,0,284
Wind,Blade,35177,28,39,2.37,1511,87.5,1,1,5,0.26,0,209
Solar,Inverter,32636,24,64,0.41,335,86.9,2,0,5,0.34,0,327
Wind,Gearbox,39693,40,57,5.09,983,60.7,5,21,10,0.94,1,33
Solar,Inverter,30901,24,60,0.48,881,95.1,0,3,7,0.18,0,174
Wind,Gearbox,15346,35,70,5.77,1012,66.1,7,30,7,0.61,1,27
Solar,Panel,30237,34,63,1.13,1044,57.5,4,10,10,0.64,1,54
Wind,Bearing,7996,28,69,2.21,856,93.8,2,1,4,0.2,0,268
Solar,Inverter,13562,37,79,1.12,714,75.7,4,29,8,0.69,1,39
Wind,Blade,39198,47,61,2.83,1573,89.4,2,1,2,0.15,0,256
Wind,Bearing,43459,39,54,3.45,873,95.5,0,3,4,0.33,0,253
Solar,Panel,27104,39,52,1.24,945,65.3,9,11,4,0.85,1,58
Wind,Blade,18697,31,61,6.06,1330,62.5,10,7,3,0.9,1,78
Solar,Inverter,10219,39,80,0.12,344,92.8,2,4,4,0.22,0,174
Wind,Bearing,46798,26,40,8.22,1650,62.8,4,25,4,0.7,1,36
Wind,Gearbox,3474,33,72,8.56,1152,60.3,7,26,1,0.4,1,67
Wind,Generator,14539,36,76,2.42,1689,87.9,0,4,8,0.27,0,203
Wind,Gearbox,47731,35,62,7.69,1267,61.5,3,8,2,0.88,1,76
Solar,Inverter,28296,28,65,0.85,789,62.7,4,26,8,0.42,1,6
Wind,Gearbox,5849,26,39,2.39,1612,91.8,2,1,9,0.32,0,348
Wind,Generator,34290,28,49,5.95,1719,72.2,10,8,2,0.48,1,79
Solar,Panel,9293,34,62,0.48,957,95.3,1,2,3,0.32,0,307
Solar,Panel,2785,24,62,0.1,844,92.8,1,0,6,0.28,0,308
Solar,Panel,35911,24,45,0.45,662,92.8,2,1,6,0.11,0,269
Wind,Generator,25217,33,77,6.47,891,66.3,5,8,7,0.71,1,11
Wind,Generator,46620,31,43,2.56,1076,95.1,0,2,2,0.32,0,312
Solar,Inverter,45589,21,66,0.3,788,87.4,0,5,5,0.26,0,334
Wind,Blade,41973,25,58,8.56,1146,72.6,10,6,3,0.75,1,59
Wind,Gearbox,19175,24,46,8.71,1584,69.1,10,21,7,0.53,1,21
Solar,Panel,19380,24,60,0.78,876,79.0,10,17,2,0.51,1,12
Solar,Panel,33928,24,63,0.29,980,92.8,1,5,10,0.13,0,285
Solar,Inverter,38410,31,53,0.54,793,86.3,1,3,9,0.17,0,349
Solar,Panel,7617,26,50,0.25,874,87.7,2,5,1,0.2,0,290
Solar,Inverter,12331,33,78,1.2,607,58.4,3,23,5,0.81,1,8
Wind,Generator,36172,38,69,8.63,1114,78.0,3,9,10,0.59,1,44
Wind,Generator,21475,34,54,6.96,1189,71.8,8,13,2,0.75,1,35
Solar,Inverter,48358,25,70,0.52,446,90.6,0,2,5,0.2,0,337
Solar,Inverter,33563,29,46,0.3,846,88.6,1,4,10,0.24,0,279
Wind,Gearbox,30182,37,52,2.16,1447,94.7,0,3,5,0.2,0,280
Solar,Inverter,33109,42,62,0.64,472,75.8,10,18,8,0.59,1,17
Wind,Generator,49606,43,53,2.2,1201,89.9,1,4,10,0.29,0,255
Solar,Inverter,47347,47,64,0.79,559,71.2,9,10,2,0.67,1,77
Solar,Inverter,15063,35,62,0.99,757,75.6,10,30,9,0.43,1,50
Solar,Inverter,23835,30,64,1.16,648,60.1,9,24,2,0.45,1,28
Solar,Inverter,15114,22,57,0.39,339,95.3,0,4,9,0.14,0,293
Solar,Panel,1276,35,80,0.14,1088,95.1,2,5,7,0.13,0,318
Wind,Gearbox,6248,28,51,3.33,849,89.4,2,4,7,0.13,0,240
Wind,Gearbox,24881,26,39,4.44,1163,80.0,8,28,2,0.88,1,59
Wind,Bearing,14211,30,48,4.58,893,74.0,8,13,3,0.56,1,33
Solar,Inverter,12097,34,72,0.89,930,64.6,3,5,9,0.8,1,72
Solar,Panel,31298,43,71,0.19,559,85.8,0,0,3,0.18,0,126
Wind,Bearing,21012,35,72,2.16,1016,92.4,1,4,9,0.26,0,207
Solar,Panel,32684,24,48,0.31,819,91.0,2,5,2,0.32,0,191
Solar,Panel,32957,41,86,0.89,471,73.9,3,13,5,0.45,1,77
Wind,Bearing,48872,21,63,5.99,1623,75.5,10,16,9,0.77,1,51
Solar,Inverter,45254,40,65,1.02,765,57.6,7,14,7,0.8,1,31
Wind,Generator,2679,44,78,6.74,1148,57.9,4,7,9,0.57,1,78
Wind,Generator,34721,42,62,2.17,1578,92.4,1,0,4,0.13,0,294
Wind,Generator,2142,32,44,3.21,1772,89.7,1,3,7,0.24,0,241
Solar,Panel,25253,26,50,0.5,565,86.4,2,0,8,0.31,0,173
Solar,Inverter,48939,32,60,0.43,555,94.1,1,3,9,0.21,0,329
Wind,Blade,24714,37,74,8.48,972,76.3,3,23,10,0.48,1,66
Wind,Gearbox,7971,37,68,8.94,1734,65.6,8,15,10,0.51,1,37
Solar,Inverter,26337,22,54,0.16,763,86.4,0,1,9,0.13,0,123
Wind,Generator,48045,35,78,2.64,1670,93.7,1,1,8,0.3,0,181
Solar,Inverter,26170,24,45,1.13,654,60.0,9,16,7,0.55,1,18
Solar,Panel,46177,32,53,0.12,629,91.5,1,3,9,0.19,0,346
Solar,Inverter,40553,38,49,0.29,1055,88.1,1,3,1,0.21,0,181
Solar,Panel,44635,44,85,0.68,479,75.2,4,24,10,0.79,1,13
Wind,Blade,15240,42,70,2.99,1211,93.9,1,3,3,0.26,0,309
Solar,Inverter,24440,21,44,1.39,697,63.9,8,16,1,0.49,1,19
Solar,Panel,21123,38,67,0.38,400,93.0,1,0,6,0.14,0,322
Solar,Inverter,28740,42,81,0.11,940,95.0,1,4,8,0.26,0,281
Solar,Panel,17112,46,74,0.49,642,91.3,0,2,8,0.29,0,280
Solar,Inverter,39671,38,63,0.17,347,86.5,1,4,6,0.12,0,260
Wind,Bearing,40463,20,62,1.76,1335,87.9,0,1,3,0.18,0,200
Solar,Panel,6644,20,40,0.94,369,56.6,4,21,7,0.69,1,50
Wind,Gearbox,4476,43,61,2.99,1320,93.2,0,3,9,0.29,0,187
Wind,Bearing,18190,46,71,2.84,855,92.5,2,1,6,0.19,0,290
Wind,Blade,48266,31,62,8.68,1039,59.1,3,8,6,0.43,1,64
Wind,Gearbox,38684,30,73,8.03,1475,64.8,7,23,3,0.8,1,70
Wind,Generator,26754,24,36,4.52,1698,61.9,8,18,1,0.44,1,78
Wind,Generator,34556,33,74,8.11,972,67.9,7,23,4,0.76,1,59
Wind,Gearbox,17675,21,38,8.74,961,61.7,7,23,3,0.68,1,24
Wind,Bearing,32747,45,73,6.99,1250,55.9,10,11,10,0.47,1,20
Solar,Panel,14607,47,58,0.43,528,93.3,0,3,4,0.25,0,173
Wind,Blade,8335,37,78,1.59,1120,91.8,1,4,5,0.1,0,169
Wind,Gearbox,2029,40,82,5.67,1711,76.4,9,5,10,0.44,1,44
Solar,Panel,6043,33,49,0.56,790,88.3,0,4,8,0.18,0,228
Wind,Blade,49366,29,65,7.87,1217,63.0,4,30,8,0.52,1,28
Wind,Bearing,34971,42,54,1.59,1132,85.0,0,3,8,0.18,0,206
Wind,Bearing,21440,47,62,1.2,1654,88.2,2,2,4,0.29,0,133
Solar,Inverter,17521,20,55,0.54,1200,89.9,0,2,4,0.3,0,121
Solar,Inverter,7197,23,44,0.26,700,90.2,2,3,1,0.23,0,151
Solar,Inverter,5062,30,55,0.58,933,90.5,2,3,3,0.23,0,221
Wind,Blade,49396,29,54,2.48,1141,88.0,1,5,2,0.28,0,187
Solar,Inverter,44815,28,47,0.28,586,88.3,0,0,7,0.28,0,157
Wind,Gearbox,1994,33,75,3.26,1497,85.6,2,5,4,0.28,0,216
Wind,Generator,49156,34,60,3.0,1026,91.3,2,4,7,0.24,0,207
Wind,Bearing,43789,35,63,1.88,1356,85.5,0,3,4,0.3,0,257
Solar,Inverter,47642,39,70,0.43,579,86.4,2,5,9,0.26,0,181
Wind,Generator,5193,20,38,3.39,1334,85.5,1,0,6,0.21,0,346
Wind,Gearbox,45558,35,79,2.41,1700,89.6,0,3,5,0.2,0,150
Solar,Panel,25698,36,66,0.89,664,57.6,4,7,1,0.53,1,31
Solar,Inverter,24470,36,78,0.17,700,92.6,1,1,5,0.12,0,159
Wind,Generator,12581,21,36,7.34,1289,60.6,9,18,2,0.85,1,32
Solar,Inverter,44612,45,57,0.38,369,87.2,0,3,10,0.16,0,253
Solar,Inverter,18551,39,69,1.43,662,79.0,10,11,9,0.92,1,37
Solar,Panel,43666,33,62,1.38,567,63.6,3,11,6,0.54,1,8
Solar,Inverter,46548,37,53,1.03,1140,79.3,8,20,1,0.77,1,31
Wind,Generator,23281,36,55,6.11,1445,57.3,3,28,6,0.76,1,24
Solar,Inverter,32959,24,48,0.14,479,91.4,0,4,3,0.35,0,180
Wind,Bearing,34579,40,64,2.14,828,88.2,1,2,6,0.31,0,245
